Record ID,Company name,England Regions (DFE) ,Customer type - Primary,Customer type - RE,Primary Subscription Start Date,Primary Subscription End Date,Legacy Flagship,Post code,Postcode (DFE),latitude,longitude,School 1,Distance to School 1 (miles),School 1 Type,School 1 Record ID,School 2,Distance to School 2 (miles),School 2 Type,School 2 Record ID,School 3,Distance to School 3 (miles),School 3 Type,School 3 Record ID,School 4,Distance to School 4 (miles),School 4 Type,School 4 Record ID,School 5,Distance to School 5 (miles),School 5 Type,School 5 Record ID
6814854425,Hetton Primary School,North East,Primary Legacy,RE Legacy,16/06/2020,,,DH5 9ND,DH5 9ND,54.8171351,-1.4590445,Woodlea Primary School,3.064988269827751,Primary SaaS,6814808597,Bournmoor Primary School,3.539544042554215,Primary SaaS,6814288933,Durham Gilesgate Primary School,4.25533582554215,Primary SaaS,6815997314,Thornley Primary School,4.519448209274011,Primary SaaS,6814996874,Laurel Avenue Community Primary School,4.577182677579186,Primary SaaS,6814821908
6595677109,Anglesey Primary Academy,West Midlands,Primary Legacy,RE Legacy,05/12/2019,,,DE14 3LG,DE14 3LG,52.7991288,-1.6449644,Shobnall Primary Academy,0.8608690161936987,Primary SaaS,6814867735,River View Primary and Nursery School,0.917823060102474,Primary SaaS,6814870566,The Violet Way Academy,1.286398846712904,Primary SaaS,6608929968,Lansdowne Infant Academy,1.3093243783353004,Primary SaaS,6814377394,"Horninglow Primary, A De Ferrers Trust Academy",1.5476914392337655,Primary SaaS,6608981051
23727928837,Habs Boys,East of England,Primary Legacy,,08/05/2017,,,WD6 3AF,WD6 3AF,51.6555412,-0.3113888,Haberdashers' Girls' School,0.1100106117935509,Primary SaaS,6816001160,Aldenham School,0.9127595518742879,Primary SaaS,6595639467,Radlett Preparatory School ,0.9952542718597236,Primary SaaS,6814901420,St Nicholas C of E School,1.022743311040677,Primary SaaS,6814867258,Meryfield Community Primary School,1.1884209988622167,Primary SaaS,6814981150
6814929969,Churcher's College,South East,Primary Legacy,,08/07/2019,,,GU30 7HT,GU31 4AS,51.0690927,-0.7926137,Highfield and Brookham Schools,0.3819506303468521,Primary SaaS,6815006990,Shottermill Junior School,2.964889215374079,Primary SaaS,6814870430,Grayshott CE Primary School,3.354366915030683,Primary SaaS,6608980996,St Edmund's School,3.3983081368212016,Primary SaaS,6608967034,St Bartholomew's Church of England (voluntary Aided) Primary School,3.752336167221805,Primary SaaS,6814849841
6595691328,Shotley Community Primary School,East of England,Primary Legacy,,16/07/2020,,,IP9 1NR,IP9 1NR,51.9686016,1.2568019,Chase Lane Primary School and Nursery,2.7050141869687723,Primary SaaS,6814989747,Grange Primary School,3.104507679932779,Primary SaaS,6814980883,Two Village Church of England Primary School,3.172711442937019,Primary SaaS,6814865579,Trimley St Martin Primary School,3.208716729604374,Primary SaaS,6814808639,Langer Primary Academy,3.5520265956323227,Primary SaaS,6814884439
6608929582,St Mary's Hare Park School,London,Primary Legacy,,02/06/2020,,,RM2 6HH,RM2 6HH,51.5847,0.20889,Squirrels Heath Infant School,0.5340138080639086,Primary SaaS,6814820924,Ardleigh Green Junior School (Ardleigh Green Learning Federation),0.562454154809132,Primary SaaS,6608933900,Nelmes Primary School,1.0397066150641112,Primary SaaS,6814199818,Harold Wood Primary School,1.193824638092439,Primary SaaS,6814865421,Hilldene Primary School,1.2096009252325353,Primary SaaS,6594996845
6815997856,Bishop Sutton Primary School,South West,Primary Legacy,RE Legacy,03/12/2019,,,BS39 5XD,BS39 5XD,51.3334816,-2.5957649,Chew Stoke Church School,2.2517193046633426,Primary SaaS,6814977649,Clutton Primary School,2.381162456162368,Primary SaaS,6814903920,East Harptree Church of England Primary School,2.537261482890752,Primary SaaS,6814372406,Cameley CofE VC Primary School,2.5680691214191005,Primary SaaS,6814914623,High Littleton CofE VC Primary School,3.7464954255095333,Primary SaaS,6814963782
6595642961,Staines Prep,South East,Primary Legacy,RE Legacy,23/12/2014,,,TW18 2BT,TW18 2BT,51.4312704,-0.49958305,Riverbridge Primary School,0.35399426383367194,Primary SaaS,6815997478,Ashford Park Primary School,0.837585744738861,Primary SaaS,6595685130,Hythe Community Primary School,0.9886864412577775,Primary SaaS,6608973850,Thorpe Lea Primary School,1.1810673750698257,Primary SaaS,6814821769,Town Farm Primary School,1.7333491831404457,Primary SaaS,6814945896
6814777694,Abbotskerswell Primary School,South West,Primary Legacy,,11/06/2020,,,TQ12 5NS,TQ12 5NS,50.5089314,-3.61417215,Canada Hill Primary School,0.9731536164236153,Primary SaaS,6814415024,Decoy Community Primary School,1.0666331635801591,Primary SaaS,6814297186,Highweek Community Primary & Nursery School,1.549763956030511,Primary SaaS,6814285170,Bearnes School,1.5738240860696016,Primary SaaS,6814926768,Haytor View Community Primary School & Nursery,1.7661825924957912,Primary SaaS,6814823314
6608950342,Roding Primary School,London,Primary Legacy,,06/10/2016,,,IG8 8NP,IG8 8NP,51.6039018,0.0554522,Gilbert Colvin Primary School,0.8800096884434717,Primary SaaS,6815999560,Parkhill Infants' School,1.1213998353432983,Primary SaaS,6814975127,Oakdale Junior School,1.2163525522947127,Primary SaaS,6814943039,Clore Tikva School,1.2469957085114978,Primary SaaS,6608966970,Woodford Green Preparatory School,1.3356884519473022,Primary SaaS,6595639441
6595668526,Falconhurst School,South East,Primary Legacy,RE Legacy,07/02/2019,,,MK6 5AX,MK6 5AX,52.0328019,-0.7376368,Orchard Academy,0.5137837654336928,Primary SaaS,6814977861,Shepherdswell Academy,0.6645395522989538,Primary SaaS,6595702691,Oldbrook First School,0.7906945033638041,Primary SaaS,6815026750,Langland Community School,0.9280382822544951,Primary SaaS,6595702663,Moorland Primary School,0.9822242895703607,Primary SaaS,6608980409
6814929535,Meon Infant School,South East,Primary Legacy,,15/06/2020,,,PO4 8NT,PO4 8NT,50.79529335,-1.05391715,Penbridge School,1.16250594633821,Primary SaaS,6814849639,ARK Dickens Primary Academy,1.4424798085494026,Primary SaaS,6814255186,New Horizons Primary School,1.5333433640293657,Primary SaaS,6814942590,Portsmouth City Council,1.640537254775952,Primary SaaS,7391513968,Portsdown Primary School,3.730989652013232,Primary SaaS,6608980754
6814283034,Hazlemere Church of England Combined School,South East,Primary Legacy,,21/02/2019,,,HP15 7PZ,HP15 7PZ,51.6487525,-0.7159124,Manor Farm Community Infant School,0.6138157835661189,Primary SaaS,6595689567,Manor Farm Junior School,0.6138157835661189,Primary SaaS,6814885738,Cedar Park School,0.6494407972955973,Primary SaaS,6814956937,Widmer End Community Combined School,0.9255114032001276,Primary SaaS,6814917492,Tylers Green Middle School,1.1260424045241513,Primary SaaS,6608974423
6814297609,Coniston Primary School,South West,Primary Legacy,RE Legacy,19/01/2015,,,BS34 5LN,BS34 5LN,51.53919558,-2.5827536,Soundwell Academy,0.5409966265262934,Primary SaaS,6814287763,SGS Pegasus School,0.5409966265262934,Primary SaaS,6924747889,Callicroft Primary School,0.5618113356704736,Primary SaaS,6814947971,Charlton Wood Primary Academy,0.7407772831259887,Primary SaaS,6814947904,Stoke Lodge Primary School,1.1090247801760604,Primary SaaS,6815004512
6814977859,Evergreen Primary Academy,South West,Primary Legacy,,07/10/2015,,,BS5 0YR,BS5 0YR,51.4668175,-2.571428,Bannerman Road Community Academy and Childrenâ€™s Centre,0.3038487474034129,Primary SaaS,6814377374,St Barnabas Church of England VC Primary School,0.40540525661367793,Primary SaaS,6814980679,Cabot Primary School,0.4830493710943413,Primary SaaS,6814918014,Whitehall Primary School,0.7024337557552185,Primary SaaS,6814792270,The Dolphin School,0.7797238403041828,Primary SaaS,6814865496
